City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Atar,MR,86.54,broken clouds,20.5169,-13.0499,Oumou Elghoura
557,Kijang,KR,78.53,scattered clouds,35.2442,129.2139,Samyang Beach Villa
558,Gaziantep,TR,69.73,clear sky,37.0594,37.3825,Novotel Gaziantep
559,Horconcitos,PA,68.83,overcast clouds,8.4682,-81.8007,KAFETE S.A
560,Kieta,PG,81.84,light rain,-6.2167,155.6333,Uruna Bay Retreat
563,Sibolga,ID,82.15,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
564,Port Lincoln,AU,60.51,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
565,Kamina,CD,62.47,scattered clouds,-8.7386,24.9906,Guest House Florvia
566,Vytegra,RU,61.99,clear sky,61.0064,36.4481,Wardenclyffe Volgo&Balt
567,Santo Antonio Da Platina,BR,61.14,clear sky,-23.295,-50.0772,Hotel Kanôa Tropical
569,Yenagoa,NG,76.14,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
570,Rizhao,CN,83.88,clear sky,35.4275,119.4553,Novotel Rizhao Suning
571,Quesnel,CA,64.9,few clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
573,Domoni,KM,78.93,clear sky,-12.2569,44.5319,Al Djadid
575,Zorgo,BF,87.42,clear sky,12.2489,-0.6158,Auberge Peng-Wende De Zorgho
576,Nsukka,NG,68.65,very heavy rain,6.8561,7.3927,Golden Eve Hotel
580,Filadelfia,US,71.11,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
582,Traverse City,US,66.94,overcast clouds,44.7631,-85.6206,Bayshore Resort
584,Saint-Georges,GD,79.03,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
588,Puerto Ayacucho,VE,74.68,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
589,Puerto Escondido,MX,82.74,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
591,Karimganj,IN,87.93,overcast clouds,24.8667,92.35,Ahar Hotel And Aheli Restaurant
594,Bend,US,67.46,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
595,Probolinggo,ID,89.46,broken clouds,-7.7543,113.2159,RedDoorz @ Panglima Sudirman Probolinggo
596,Rapid Valley,US,72.57,clear sky,44.0625,-103.1463,Fairfield by Marriott Rapid City
598,Bethlehem,BR,75.24,clear sky,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
601,Mulege,MX,80.67,clear sky,26.8833,-111.9833,Casa Granada
602,San Jose,US,68.49,few clouds,37.3394,-121.895,The Westin San Jose
603,Bambanglipuro,ID,85.3,scattered clouds,-7.95,110.2833,Puri Brata
604,Axim,GH,78.84,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
605,Kuytun,RU,81.5,broken clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
607,Fengcheng,CN,71.33,broken clouds,40.4536,124.0717,Hanting Hotel Fengcheng Phoenix Station
609,Mabaruma,GY,72.64,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
611,Batagay,RU,81.36,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
612,Sosua,DO,75.24,scattered clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
613,Itoman,JP,89.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
614,Xining,CN,70.21,clear sky,36.6167,101.7667,Super Leisure Hotel
615,Chernyshevskiy,RU,77.97,overcast clouds,63.0128,112.4714,Chernyseyskiy
618,Itupiranga,BR,73.72,scattered clouds,-5.1347,-49.3267,Hotel Panorama
620,Nador,MA,68.07,light rain,35.174,-2.9287,Hôtel La Giralda
621,Manoel Urbano,BR,74.68,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
622,Maceio,BR,72.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
623,Carauari,BR,77.32,moderate rain,-4.8828,-66.8958,Hotel Fellip
