City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Itarema,BR,-2.9248,-39.9167,76.17,82,2,12.08,clear sky
325,Viloco,BO,-16.95,-67.55,39.87,86,86,2.71,overcast clouds
326,Constitucion,CL,-35.3333,-72.4167,55.98,90,100,7.45,overcast clouds
327,San Patricio,US,28.017,-97.5169,75.29,91,100,9.4,light rain
328,Kindu,CD,-2.95,25.95,68.0,94,66,2.17,broken clouds
329,Benghazi,LY,32.1167,20.0667,70.23,57,3,15.75,clear sky
330,Houma,US,29.5958,-90.7195,75.2,97,1,0.0,clear sky
331,Peniche,PT,39.3558,-9.3811,58.73,82,74,20.94,broken clouds
332,Portobelo,PA,9.55,-79.65,78.82,87,96,7.78,overcast clouds
333,Hamilton,US,39.1834,-84.5333,63.45,97,75,3.62,broken clouds
334,Berdigestyakh,RU,62.0989,126.6992,82.9,27,19,6.06,few clouds
335,Kuah,MY,6.3265,99.8432,89.6,79,40,4.27,scattered clouds
336,Darnah,LY,32.767,22.6367,68.27,64,0,9.62,clear sky
337,Yangambi,CD,0.8102,24.4336,69.58,95,99,1.81,overcast clouds
338,Magole,TZ,-6.3667,37.3667,69.24,89,100,1.14,overcast clouds
339,Mackenzie,CA,55.2999,-123.1698,62.82,36,1,4.61,clear sky
340,Tomislavgrad,BA,43.7181,17.2267,43.54,78,0,4.32,clear sky
341,Gat,IL,31.61,34.7642,69.91,100,24,2.91,few clouds
342,Konza,KE,-1.7426,37.1294,59.18,88,100,1.1,overcast clouds
343,Avera,US,33.194,-82.5271,75.25,94,69,6.49,broken clouds
344,Port Keats,AU,-14.25,129.55,85.51,56,49,9.01,scattered clouds
345,Port Hueneme,US,34.1478,-119.1951,68.65,90,90,0.0,overcast clouds
346,Amga,RU,60.8953,131.9608,80.06,25,14,0.16,few clouds
347,Sitka,US,57.0531,-135.33,48.09,81,90,6.91,light rain
348,Kurilsk,RU,45.2333,147.8833,49.91,89,100,16.02,overcast clouds
349,General Pico,AR,-35.6566,-63.7568,57.4,77,99,5.35,overcast clouds
350,Hovd,MN,48.0056,91.6419,80.73,20,36,0.98,scattered clouds
351,Whitehorse,CA,60.7161,-135.0538,52.57,40,40,17.0,scattered clouds
352,Tambopata,PE,-12.7333,-69.1833,70.07,98,100,2.44,overcast clouds
353,Fort William,GB,56.8165,-5.1121,54.3,81,64,3.2,broken clouds
354,Chumphon,TH,10.3333,98.8333,89.71,53,64,6.4,broken clouds
355,Mackay,AU,-21.15,149.2,78.67,64,40,14.97,scattered clouds
356,Sioux Lookout,CA,50.1001,-91.917,71.98,49,75,4.61,broken clouds
357,Paamiut,GL,61.994,-49.6678,35.82,76,8,3.71,clear sky
358,Mirnyy,RU,62.5353,113.9611,83.16,20,84,12.17,broken clouds
359,Berlevag,NO,70.8578,29.0864,59.0,70,7,14.12,clear sky
360,Iqaluit,CA,63.7506,-68.5145,31.73,93,90,8.01,snow
361,Maragogi,BR,-9.0122,-35.2225,73.94,89,40,1.9,scattered clouds
362,Lumberton,US,34.6182,-79.0086,74.34,97,100,9.84,overcast clouds
363,Lorengau,PG,-2.0226,147.2712,82.54,77,84,2.35,broken clouds
364,Brownsville,US,25.9018,-97.4975,75.9,84,90,8.01,overcast clouds
365,Grindavik,IS,63.8424,-22.4338,52.56,93,90,22.88,mist
366,Reyes,BO,-14.3167,-67.3833,69.64,98,100,0.96,overcast clouds
367,Banda Aceh,ID,5.5577,95.3222,85.14,74,88,10.47,overcast clouds
368,Weinan,CN,34.5036,109.5089,83.89,11,0,9.06,clear sky
369,Jiayuguan,CN,39.8167,98.3,85.26,7,0,20.09,clear sky
370,Korla,CN,41.7597,86.1469,93.4,12,98,8.79,overcast clouds
371,Sturgis,US,41.7992,-85.4192,69.84,39,1,4.61,clear sky
372,Vallenar,CL,-28.5708,-70.7581,56.86,84,17,2.42,few clouds
373,Salalah,OM,17.0151,54.0924,82.49,78,75,3.44,broken clouds
374,Menomonie,US,44.8755,-91.9193,73.42,52,75,0.0,broken clouds
375,Chulman,RU,56.8479,124.9104,69.58,30,33,9.19,scattered clouds
376,Sao Filipe,CV,14.8961,-24.4956,72.81,78,17,10.42,few clouds
377,Massaguet,TD,12.4755,15.4365,89.64,35,55,3.27,broken clouds
378,Ukiah,US,39.1502,-123.2078,80.49,26,1,5.75,clear sky
379,Khlung,TH,12.4547,102.2214,89.92,61,98,7.67,overcast clouds
380,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,76,90,16.53,overcast clouds
381,Turochak,RU,52.2576,87.1224,78.28,56,100,1.12,overcast clouds
382,Voyvozh,RU,62.892,54.9635,59.45,33,6,6.89,clear sky
383,Zlobin,HR,45.2924,14.6541,61.38,85,0,2.53,clear sky
384,Soe,ID,-9.8607,124.284,82.8,45,61,9.6,broken clouds
385,Develi,TR,38.3906,35.4922,49.35,58,3,3.36,clear sky
386,Christchurch,NZ,-43.5333,172.6333,54.32,83,10,3.0,clear sky
387,Yeniseysk,RU,58.4497,92.1703,64.98,40,94,7.72,overcast clouds
388,Mangrol,IN,21.1167,70.1167,86.63,66,77,9.13,broken clouds
389,Dudinka,RU,69.4058,86.1778,33.66,97,100,12.01,overcast clouds
390,Rawson,AR,-43.3002,-65.1023,45.16,85,65,11.36,broken clouds
391,Sharan,RU,54.8167,54.0,58.66,62,98,19.84,overcast clouds
392,Ugoofaaru,MV,5.6667,73.0,82.8,71,100,16.87,overcast clouds
393,Beira,MZ,-19.8436,34.8389,68.09,88,20,11.5,few clouds
394,Roald,NO,62.5833,6.1333,64.0,48,0,9.22,clear sky
395,Santa Fe,AR,-31.6333,-60.7,63.0,70,10,1.99,clear sky
396,Nola,IT,40.922,14.5329,68.92,78,10,1.88,clear sky
397,Batticaloa,LK,7.7102,81.6924,81.01,84,100,8.16,overcast clouds
398,Beidao,CN,34.5686,105.8933,80.8,24,19,3.18,few clouds
399,Dingle,PH,10.9995,122.6711,89.28,65,85,8.03,overcast clouds
400,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,82,20,6.11,few clouds
401,Mandalgovi,MN,45.7625,106.2708,68.52,24,0,7.92,clear sky
402,Basay,PH,9.4087,122.64,86.0,68,100,4.97,overcast clouds
403,Beringovskiy,RU,63.05,179.3167,35.1,87,88,5.01,overcast clouds
404,Luebo,CD,-5.35,21.4167,68.81,80,35,1.92,scattered clouds
405,La Ronge,CA,55.1001,-105.2842,59.25,82,75,3.44,broken clouds
406,Porto Novo,BJ,6.4965,2.6036,82.22,90,65,2.15,moderate rain
407,Meadow Lake,US,34.8014,-106.5436,77.25,33,81,8.41,broken clouds
408,Mumford,GH,5.2618,-0.759,78.93,87,52,5.1,moderate rain
409,Pevek,RU,69.7008,170.3133,38.89,60,78,1.52,broken clouds
410,Codrington,AU,-38.2667,141.9667,54.27,50,53,12.82,broken clouds
411,Vocklabruck,AT,48.0167,13.65,60.82,81,77,1.32,broken clouds
412,Virginia Beach,US,36.8529,-75.978,72.01,95,100,1.99,overcast clouds
413,San Pedro,PH,14.35,121.0167,94.23,61,20,15.14,few clouds
